anchor_recording_uid,anchor_recording_id,tissue,fit_r_squared,fit_nrmse_q95_q05,fit_active_bound_count,target_boundary_hit_parameters,pre_duration_days,post_duration_days,pre_n_cycles,post_n_cycles,pre_residual_robust_sd,post_residual_robust_sd,pre_rhythmic_rms,post_rhythmic_rms,pre_rhythm_to_residual_ratio,post_rhythm_to_residual_ratio,pre_envelope_median,post_envelope_median,pre_envelope_p10,post_envelope_p10,pre_period_status,pre_period_reason,post_period_status,post_period_reason,pre_amplitude_envelope_status,pre_amplitude_envelope_reason,post_amplitude_envelope_status,post_amplitude_envelope_reason,phase_shift_status,phase_shift_reason
250625 to 250728::5B-T12m2_Raw.csv,5B-T12m2,DRG,0.9021653316923788,0.115993654146518,0,none,6.77778,6.26389,6.757923822957146,6.310305018452785,0.46883375561203955,0.4728850448419489,0.5407852135161354,1.1463870011413506,1.1534690218927746,2.424240338419889,0.7651666948984603,0.9202646203196223,0.7244864782824313,0.2749600418844472,eligible,none,eligible,none,eligible,none,eligible,none,eligible,none
250625 to 250728::5C-T12_Raw.csv,5C-T12,DRG,0.9611066563110644,0.0782773104818988,1,fit_pre_period_hours,6.83125,6.263890000000001,5.465881760129177,5.880456802551627,0.8519676430677815,0.9199870330270139,0.42844660354849157,1.352414087634843,0.5028906990008831,1.4700360321221304,0.06369302418014375,1.5817397191120066,0.0038175449761742803,0.869150720466044,difficult,fit_pre_period_hours_at_bound,eligible,none,eligible,none,eligible,none,difficult,fit_pre_period_hours_at_bound
250625 to 250728::5D-T10_Raw.csv,5D-T10,DRG,0.896583049557246,0.1025865901289429,0,none,6.81736,6.2638799999999994,6.468935662313933,5.983469609645575,0.4397166883292505,0.44959620028471936,0.3805876889535456,1.0337049687538347,0.8655293261659646,2.2991852869290534,0.34733862849506303,1.0332201236502918,0.12675100476181433,0.4397003058936514,eligible,none,eligible,none,eligible,none,eligible,none,eligible,none
250625 to 250728::6A-T7_Raw.csv,6A-T7,DRG,0.7923726247901712,0.1501178153616788,0,none,6.83125,6.263890000000001,6.476385146766053,5.956710432027482,0.2743294012397954,0.21221779741302066,0.3633039492541173,0.46017382847548377,1.3243347144426125,2.1684035650407223,0.2762396373607188,0.43481152470264217,0.0818853489320453,0.17205866154660462,eligible,none,eligible,none,eligible,none,eligible,none,eligible,none
250625 to 250728::6B-T5_Raw.csv,6B-T5,DRG,0.952486249893679,0.0860880731953096,0,none,6.81736,6.2638799999999994,6.6648326589214095,5.86446936498837,0.4277670970241307,0.447556138196699,0.27281542289160304,0.8493504294048233,0.6377662629723326,1.8977517163032127,0.35198020598953667,0.9022283445621325,0.22277630890764316,0.4204451596886398,eligible,none,eligible,none,eligible,none,eligible,none,eligible,none
250625 to 250728::6C-SCNmm1_Raw.csv,6C-SCNmm1,SCN,0.6114390509380394,0.1725852966779626,0,none,6.76389,6.27778,6.787972638013264,6.2209512901420085,0.45607295229248385,0.14974534519511018,0.44362872760180955,0.25221411261196175,0.97271439880808,1.6842868289718138,0.4231873572680026,0.0895980488452978,0.16376606749627712,0.01087514331722688,eligible,none,eligible,none,eligible,none,eligible,none,eligible,none
250625 to 250728::7A-SCNmm2_Raw.csv,7A-SCNmm2,SCN,0.6976439923479024,0.1590366863974417,0,none,6.77778,6.27778,6.728104760453823,5.831864825971379,0.42398686749544584,0.39533096550081526,0.5469206451785676,0.330066235680464,1.289947135413203,0.8349111617460265,0.3470715895056875,0.0642194662976099,0.08242276103142317,0.00429977853759722,eligible,none,eligible,none,eligible,none,eligible,none,eligible,none
250625 to 250728::7B-SCNcm2_Raw.csv,7B-SCNcm2,SCN,0.796890613811434,0.1132381063445244,0,none,6.77778,6.26389,6.790369381006136,5.620405264210681,0.18001477132758822,0.11153694860518071,0.5374503700953993,0.24505971196054002,2.9855903831211443,2.197116874947011,0.5259952001848041,0.0216050321321652,0.20664401723815243,0.00066060837703983,eligible,none,eligible,none,eligible,none,eligible,none,eligible,none
250625 to 250728::7C-L1_Raw.csv,7C-L1,DRG,0.8296467152828819,0.116446039422967,0,none,6.83125,6.263890000000001,6.296502029748327,6.219192854160984,0.36377242041747143,0.13869974040312497,0.3628451557836592,0.8682237711630773,0.9974509759900213,6.259736093518426,0.2017914471149384,0.851436269600157,0.0441378465274163,0.3474735312159209,eligible,none,eligible,none,eligible,none,eligible,none,eligible,none
250625 to 250728::7D-L2_Raw.csv,7D-L2,DRG,0.9102259453481568,0.1176220807421688,0,none,6.83125,6.263890000000001,5.468936323830218,5.997369468916985,0.658698943397792,0.6605821535785794,0.2642103754420486,0.8235862784816822,0.40110945689264677,1.246758293453825,0.1099428969305893,0.958652635078252,0.017980403456529542,0.5212233494038803,eligible,none,eligible,none,eligible,none,eligible,none,eligible,none
