method,scenario_family,challenge_type,target_status,method_applicable,primary_metric_name,primary_metric_unit,metric,n_anchors_valid,bootstrap_replicates,bootstrap_seed,clean_point_estimate,clean_ci_lower_95,clean_ci_upper_95,challenge_point_estimate,challenge_ci_lower_95,challenge_ci_upper_95,deterioration_point_estimate,deterioration_ci_lower_95,deterioration_ci_upper_95
Hilbert,pre_amplitude_trajectory,gaussian_noise,difficult,True,target_segment_calibrated_absolute_nrmse,NRMSE,envelope_log_rate_absolute_error_per_day,11,2000,29269776,0.159753748317187,0.0511358101136985,0.26784142030792923,0.15936235797624876,0.05115084293430623,0.2681050330526824,0.0001091068609301582,-0.00040743457486875495,0.00042707203841688135
Hilbert,pre_amplitude_trajectory,gaussian_noise,difficult,True,target_segment_calibrated_absolute_nrmse,NRMSE,ratio_log_error,11,2000,2000503744,0.0523704895870758,0.02494562711543845,0.5235845398994834,0.050471804967871466,0.02529164400422668,0.5215346829274452,0.0005222620434981191,-0.0003947227766592787,0.0014533470451319683
Hilbert,pre_amplitude_trajectory,gaussian_noise,eligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,primary_error,41,2000,1996728675,0.1977180889340599,0.18149705809902617,0.21224904846011516,0.19789731892483498,0.18253079943254086,0.21225720013180413,0.00013069184091840658,-0.00013552187266613336,0.0003826414353555324
Hilbert,pre_amplitude_trajectory,gaussian_noise,eligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,target_segment_shape_nrmse,41,2000,4027141436,0.13383596325662578,0.12489946105974785,0.1364609858525277,0.13213715492146547,0.12480004576595813,0.1359917005359879,0.0001257763792789704,-0.000296156906209738,0.000313275607713312
Hilbert,pre_amplitude_trajectory,gaussian_noise,eligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,trajectory_pearson,41,2000,1850470833,0.992153644274688,0.9912385716452936,0.9946024496360678,0.9921309375014259,0.9912775468656894,0.9945972031854198,2.320887993456644e-06,-1.5461366109414953e-05,3.203206036145323e-05
Hilbert,pre_amplitude_trajectory,gaussian_noise,eligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,envelope_log_rate_absolute_error_per_day,41,2000,1472531146,0.14789684074645093,0.12472278233842732,0.1742672144092969,0.14692548465753363,0.12578880547643173,0.17247256132860891,-0.0001639063249059547,-0.00047870009469747066,0.00038897174676860713
Hilbert,pre_amplitude_trajectory,gaussian_noise,eligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,ratio_log_error,41,2000,3877184168,0.04651614308798925,0.035274123698498555,0.053493751022764754,0.043786296076012414,0.034655479105256085,0.05328186730975804,-3.404238741390453e-05,-0.0005524285608634362,0.0004379404245209509
Hilbert,pre_amplitude_trajectory,gaussian_noise,ineligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,primary_error,1,0,232994489,0.260002183661168,,,0.2572812410061467,,,3.783314246132152e-05,,
Hilbert,pre_amplitude_trajectory,gaussian_noise,ineligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,target_segment_shape_nrmse,1,0,3356375500,0.16403828967123607,,,0.16329206797589738,,,-0.0006083732101263006,,
Hilbert,pre_amplitude_trajectory,gaussian_noise,ineligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,trajectory_pearson,1,0,53607683,0.9817885954104146,,,0.9816183352758523,,,-0.00011682445849203749,,
