method,metric,analysis_role,circular,animal_id,sex,level,spinal_position,spinal_region,value,n_recordings_collapsed,recording_ids
STFT,amplitude_log_ratio_post_over_pre,primary,False,20250811_2M,M,L1,13.0,lumbar,2.5022862933095995,1,2C-2ML1
STFT,amplitude_log_ratio_post_over_pre,primary,False,20250811_1F,F,L2,14.0,lumbar,1.3467285029141265,1,2D-1FL2
STFT,amplitude_log_ratio_post_over_pre,primary,False,20250811_1F,F,L4,16.0,lumbar,0.7442330011769017,2,3A-1FL4 | 4D-1FL4
STFT,amplitude_log_ratio_post_over_pre,primary,False,20250811_1F,F,T10,10.0,thoracic,1.9155823010444049,1,3D-1FT10
STFT,amplitude_log_ratio_post_over_pre,primary,False,20250811_2M,M,T10,10.0,thoracic,0.9741097767928864,1,4A-2MT10
STFT,amplitude_log_ratio_post_over_pre,primary,False,20250811_2M,M,T5,5.0,thoracic,1.5748825990635782,1,4C-2MT5
STFT,amplitude_log_ratio_post_over_pre,primary,False,20250811_2M,M,L2,14.0,lumbar,1.8620931314103693,1,5A-2ML2
STFT,amplitude_log_ratio_post_over_pre,primary,False,20250811_1F,F,T7,7.0,thoracic,1.6152486837541824,1,5C-1FT7
STFT,amplitude_log_ratio_post_over_pre,primary,False,20250811_1F,F,L1,13.0,lumbar,1.807059457565125,1,6A-1FL1
STFT,amplitude_log_ratio_post_over_pre,primary,False,20250811_2M,M,L3,15.0,lumbar,1.5771372027426906,1,6B-2ML3
STFT,amplitude_log_ratio_post_over_pre,primary,False,20250811_1F,F,T12,12.0,thoracic,2.127145816096136,1,7C-1FT12
STFT,amplitude_log_ratio_post_over_pre,primary,False,20250811_2M,M,T12,12.0,thoracic,0.8845498974058955,1,7D-2MT12
STFT,amplitude_log_ratio_post_over_pre,primary,False,20250811_1F,F,T5,5.0,thoracic,1.4688493485601817,1,8A-1FT5
STFT,amplitude_log_ratio_post_over_pre,primary,False,20250811_2M,M,L4,16.0,lumbar,1.2300424839416813,1,8C-2ML4
STFT,amplitude_log_ratio_post_over_pre,primary,False,20250811_2M,M,T7,7.0,thoracic,0.9082192083699407,1,8D-2MT7
STFT,amplitude_log_ratio_post_over_pre,primary,False,20251003_M1,M,T7,7.0,thoracic,0.7190306637029394,1,2B- 1MT7
STFT,amplitude_log_ratio_post_over_pre,primary,False,20251003_M1,M,L1,13.0,lumbar,0.0925948537703642,1,2C- M1L1
STFT,amplitude_log_ratio_post_over_pre,primary,False,20251003_M1,M,L4,16.0,lumbar,-0.2897317302957563,1,2D- M1L4
STFT,pre_amplitude_counts,descriptive,False,20250703_m2,F,L1,13.0,lumbar,1.9946501176137583,1,1B-L1m2
STFT,pre_amplitude_counts,descriptive,False,20250703_m2,F,L2,14.0,lumbar,0.7330501730257644,1,1D-L2m2
STFT,pre_amplitude_counts,descriptive,False,20250703_m2,F,L3,15.0,lumbar,3.2282209762631764,1,2C-L3m2
STFT,pre_amplitude_counts,descriptive,False,20250703_m2,F,L4,16.0,lumbar,2.584618338760281,1,2D-L4m2
STFT,pre_amplitude_counts,descriptive,False,20250703_m2,F,L5,17.0,lumbar,1.895385578287096,1,3A-L5m2
STFT,pre_amplitude_counts,descriptive,False,20250703_m2,F,T10,10.0,thoracic,6.69954590763852,1,3B-T10m2
STFT,pre_amplitude_counts,descriptive,False,20250703_m2,F,T12,12.0,thoracic,2.7792806448467617,2,4B-T12m2 | 5B-T12m2
STFT,pre_amplitude_counts,descriptive,False,20250703_m1,F,T5,5.0,thoracic,1.1984778579721098,1,4C-T5m1
STFT,pre_amplitude_counts,descriptive,False,20250703_m1,F,T7,7.0,thoracic,2.144154736744278,1,4D-T7m1
STFT,pre_amplitude_counts,descriptive,False,20250703_m1,F,T10,10.0,thoracic,0.7083395535011592,1,5A-T10m1
STFT,pre_amplitude_counts,descriptive,False,20250626_M1,M,T12,12.0,thoracic,2.627048633130499,1,5C-T12
STFT,pre_amplitude_counts,descriptive,False,20250626_M1,M,T10,10.0,thoracic,2.8972795047568143,1,5D-T10
STFT,pre_amplitude_counts,descriptive,False,20250626_M1,M,T7,7.0,thoracic,1.08335850838072,1,6A-T7
STFT,pre_amplitude_counts,descriptive,False,20250626_M1,M,T5,5.0,thoracic,1.1815937941443433,1,6B-T5
STFT,pre_amplitude_counts,descriptive,False,20250626_M1,M,L1,13.0,lumbar,0.9724942766534932,1,7C-L1
STFT,pre_amplitude_counts,descriptive,False,20250626_M1,M,L2,14.0,lumbar,2.5475562118463237,1,7D-L2
STFT,pre_amplitude_counts,descriptive,False,20250626_M1,M,L3,15.0,lumbar,3.1554196236155554,1,8A-L3
STFT,pre_amplitude_counts,descriptive,False,20250703_m1,F,L2,14.0,lumbar,1.5898904336689397,1,8B-L2m1
STFT,pre_amplitude_counts,descriptive,False,20250703_m1,F,L3,15.0,lumbar,31.62961489736012,1,8C-L3m1
STFT,pre_amplitude_counts,descriptive,False,20250703_m1,F,L4,16.0,lumbar,4.556642138476713,1,8D-L4-1m1
STFT,pre_amplitude_counts,descriptive,False,20250811_2M,M,L1,13.0,lumbar,2.0947066641242253,1,2C-2ML1
STFT,pre_amplitude_counts,descriptive,False,20250811_1F,F,L2,14.0,lumbar,4.183272068828126,1,2D-1FL2
STFT,pre_amplitude_counts,descriptive,False,20250811_1F,F,L4,16.0,lumbar,1.68823934789381,2,3A-1FL4 | 4D-1FL4
STFT,pre_amplitude_counts,descriptive,False,20250811_1F,F,T10,10.0,thoracic,2.97604978734035,1,3D-1FT10
STFT,pre_amplitude_counts,descriptive,False,20250811_2M,M,T10,10.0,thoracic,0.9361639734976676,1,4A-2MT10
STFT,pre_amplitude_counts,descriptive,False,20250811_2M,M,T5,5.0,thoracic,1.438877605255564,1,4C-2MT5
STFT,pre_amplitude_counts,descriptive,False,20250811_2M,M,L2,14.0,lumbar,0.8301076204673035,1,5A-2ML2
STFT,pre_amplitude_counts,descriptive,False,20250811_1F,F,T7,7.0,thoracic,0.9899283551962096,1,5C-1FT7
STFT,pre_amplitude_counts,descriptive,False,20250811_1F,F,L1,13.0,lumbar,2.4311596003557963,1,6A-1FL1
STFT,pre_amplitude_counts,descriptive,False,20250811_2M,M,L3,15.0,lumbar,3.889395119262902,1,6B-2ML3
STFT,pre_amplitude_counts,descriptive,False,20250811_1F,F,T12,12.0,thoracic,3.1715269465170186,1,7C-1FT12
STFT,pre_amplitude_counts,descriptive,False,20250811_2M,M,T12,12.0,thoracic,5.227994923100154,1,7D-2MT12
STFT,pre_amplitude_counts,descriptive,False,20250811_1F,F,T5,5.0,thoracic,0.7624184559511766,1,8A-1FT5
STFT,pre_amplitude_counts,descriptive,False,20250811_2M,M,L4,16.0,lumbar,11.05958992297646,1,8C-2ML4
STFT,pre_amplitude_counts,descriptive,False,20250811_2M,M,T7,7.0,thoracic,3.066598736405955,1,8D-2MT7
STFT,pre_amplitude_counts,descriptive,False,20251003_M1,M,T7,7.0,thoracic,0.7288095454768696,1,2B- 1MT7
STFT,pre_amplitude_counts,descriptive,False,20251003_M1,M,L1,13.0,lumbar,6.0820975284585455,1,2C- M1L1
STFT,pre_amplitude_counts,descriptive,False,20251003_M1,M,L4,16.0,lumbar,30.23096525418257,1,2D- M1L4
STFT,post_amplitude_counts,descriptive,False,20250703_m2,F,L1,13.0,lumbar,5.013216221597288,1,1B-L1m2
STFT,post_amplitude_counts,descriptive,False,20250703_m2,F,L2,14.0,lumbar,1.35058938688121,1,1D-L2m2
STFT,post_amplitude_counts,descriptive,False,20250703_m2,F,L3,15.0,lumbar,13.26542036352488,1,2C-L3m2
STFT,post_amplitude_counts,descriptive,False,20250703_m2,F,L4,16.0,lumbar,8.140409895561257,1,2D-L4m2
STFT,post_amplitude_counts,descriptive,False,20250703_m2,F,L5,17.0,lumbar,1.933286631586119,1,3A-L5m2
STFT,post_amplitude_counts,descriptive,False,20250703_m2,F,T10,10.0,thoracic,19.49875850419211,1,3B-T10m2
STFT,post_amplitude_counts,descriptive,False,20250703_m2,F,T12,12.0,thoracic,11.173025129621477,2,4B-T12m2 | 5B-T12m2
STFT,post_amplitude_counts,descriptive,False,20250703_m1,F,T5,5.0,thoracic,5.034885217781494,1,4C-T5m1
STFT,post_amplitude_counts,descriptive,False,20250703_m1,F,T7,7.0,thoracic,2.3998955345802044,1,4D-T7m1
STFT,post_amplitude_counts,descriptive,False,20250703_m1,F,T10,10.0,thoracic,0.4759504296855705,1,5A-T10m1
STFT,post_amplitude_counts,descriptive,False,20250626_M1,M,T12,12.0,thoracic,10.92264270235222,1,5C-T12
STFT,post_amplitude_counts,descriptive,False,20250626_M1,M,T10,10.0,thoracic,6.0562234781973725,1,5D-T10
STFT,post_amplitude_counts,descriptive,False,20250626_M1,M,T7,7.0,thoracic,1.3634807059320275,1,6A-T7
STFT,post_amplitude_counts,descriptive,False,20250626_M1,M,T5,5.0,thoracic,3.4601452136664403,1,6B-T5
STFT,post_amplitude_counts,descriptive,False,20250626_M1,M,L1,13.0,lumbar,2.559483690995679,1,7C-L1
STFT,post_amplitude_counts,descriptive,False,20250626_M1,M,L2,14.0,lumbar,9.0413679777671,1,7D-L2
STFT,post_amplitude_counts,descriptive,False,20250626_M1,M,L3,15.0,lumbar,4.696821877052701,1,8A-L3
