method,metric,analysis_role,circular,level,spinal_position,n_animals,mean,standard_deviation,median,q25,q75,circular_mean_radians,resultant_length,formal_level
STFT,amplitude_log_ratio_post_over_pre,primary,False,L4,16.0,5,0.621842437783384,0.634538665788495,0.7442330011769017,0.277405752107091,1.1472626819870022,,,True
STFT,amplitude_log_ratio_post_over_pre,primary,False,L5,17.0,1,0.0197991832878549,,0.0197991832878549,0.0197991832878549,0.0197991832878549,,,False
STFT,envelope_log_rate_change_post_minus_pre_per_day,secondary,False,T5,5.0,4,-0.20926451385810285,0.2429503817960169,-0.25890041918259166,-0.3711930820048287,-0.0969718510358658,,,True
STFT,envelope_log_rate_change_post_minus_pre_per_day,secondary,False,T7,7.0,5,-0.0830530005765997,0.14469008735638636,-0.0310593278600913,-0.2227925751801084,-0.0186151120149993,,,True
STFT,envelope_log_rate_change_post_minus_pre_per_day,secondary,False,T10,10.0,5,-0.09705242479917726,0.11385720461500784,-0.1104693595051467,-0.1772066885188595,-0.0800820179811248,,,True
STFT,envelope_log_rate_change_post_minus_pre_per_day,secondary,False,T12,12.0,4,-0.06644705515517671,0.35008609054119566,-0.024870409892539497,-0.21648113017028722,0.12516366512257102,,,True
STFT,envelope_log_rate_change_post_minus_pre_per_day,secondary,False,L1,13.0,5,-0.2048249012540559,0.2280324085321768,-0.1008166945957312,-0.343702145814007,-0.044724637954663,,,True
STFT,envelope_log_rate_change_post_minus_pre_per_day,secondary,False,L2,14.0,5,-0.15733396867247246,0.23042323790781422,-0.0873562820628844,-0.2518316333699633,-0.0061917879428933,,,True
STFT,envelope_log_rate_change_post_minus_pre_per_day,secondary,False,L3,15.0,4,0.02518014409938469,0.233691230186135,0.069601906778686,-0.10005117584013333,0.19483322671820402,,,True
STFT,envelope_log_rate_change_post_minus_pre_per_day,secondary,False,L4,16.0,5,-0.13345715395760369,0.16130766603414945,-0.0832998540510659,-0.2202058524864324,-0.052868136051328,,,True
STFT,envelope_log_rate_change_post_minus_pre_per_day,secondary,False,L5,17.0,1,-0.2400501462519007,,-0.2400501462519007,-0.2400501462519007,-0.2400501462519007,,,False
STFT,post_amplitude_counts,descriptive,False,T5,5.0,4,4.689296055470056,1.696836729815045,4.2475152157239675,3.423139872069532,5.513671399124492,,,True
STFT,post_amplitude_counts,descriptive,False,T7,7.0,5,3.5685136864696303,2.6834668042069234,2.3998955345802044,1.4958398596091431,4.978486737031182,,,True
STFT,post_amplitude_counts,descriptive,False,T10,10.0,5,9.744136763520803,9.446684255754802,6.0562234781973725,2.4797187445897424,19.49875850419211,,,True
STFT,post_amplitude_counts,descriptive,False,T12,12.0,4,15.342307664198962,7.552180425617857,11.917337451440574,11.110429522804163,16.149215592835375,,,True
STFT,post_amplitude_counts,descriptive,False,L1,13.0,5,10.926776160626682,9.39163327609745,6.672165557262643,5.013216221597288,14.811853951943604,,,True
STFT,post_amplitude_counts,descriptive,False,L2,14.0,5,7.51688710887142,5.512134781838607,5.764956544434756,5.343565934089102,9.0413679777671,,,True
STFT,post_amplitude_counts,descriptive,False,L3,15.0,4,12.793033541592257,5.908320161003095,13.823225647564492,11.123270741906836,15.492988447249914,,,True
STFT,post_amplitude_counts,descriptive,False,L4,16.0,5,16.635182077586173,13.562385839013967,8.556289557584996,8.140409895561257,22.626799183026,,,True
STFT,post_amplitude_counts,descriptive,False,L5,17.0,1,1.933286631586119,,1.933286631586119,1.933286631586119,1.933286631586119,,,False
STFT,post_envelope_log_rate_per_day,secondary,False,T5,5.0,4,-0.5314898378961317,0.16362770480102543,-0.5491523921950792,-0.6360584294904393,-0.4445838006007714,,,True
STFT,post_envelope_log_rate_per_day,secondary,False,T7,7.0,5,-0.43793562820733956,0.08817216855028509,-0.4027478828511575,-0.522362746561031,-0.3767571612403301,,,True
STFT,post_envelope_log_rate_per_day,secondary,False,T10,10.0,5,-0.500004105148385,0.06640099170109964,-0.5363083741970229,-0.5425086453940482,-0.4368660959966774,,,True
STFT,post_envelope_log_rate_per_day,secondary,False,T12,12.0,4,-0.3204697327442635,0.248854220668524,-0.3958375029941835,-0.48047423260620825,-0.23583300313223876,,,True
STFT,post_envelope_log_rate_per_day,secondary,False,L1,13.0,5,-0.36384843912982384,0.1611717332328455,-0.3836781427392469,-0.4150438579177083,-0.3663231888949088,,,True
STFT,post_envelope_log_rate_per_day,secondary,False,L2,14.0,5,-0.40552099924179064,0.11805087788136286,-0.3737878993564695,-0.3891139713986487,-0.357506785975437,,,True
STFT,post_envelope_log_rate_per_day,secondary,False,L3,15.0,4,-0.3146101818434254,0.1864486649851528,-0.3140192462966733,-0.47069075906047486,-0.1579386690796238,,,True
STFT,post_envelope_log_rate_per_day,secondary,False,L4,16.0,5,-0.4001228335561615,0.18922382640780053,-0.4749363704232108,-0.5380152011881627,-0.2624377405904528,,,True
STFT,post_envelope_log_rate_per_day,secondary,False,L5,17.0,1,-0.4490718185866761,,-0.4490718185866761,-0.4490718185866761,-0.4490718185866761,,,False
STFT,pre_amplitude_counts,descriptive,False,T5,5.0,4,1.1453419283307986,0.28102858936459174,1.1900358260582267,1.0767999595960516,1.2585777947929735,,,True
STFT,pre_amplitude_counts,descriptive,False,T7,7.0,5,1.6025699764408063,0.980441464081699,1.08335850838072,0.9899283551962096,2.144154736744278,,,True
STFT,pre_amplitude_counts,descriptive,False,T10,10.0,5,2.8434757453469026,2.402415064597344,2.8972795047568143,0.9361639734976676,2.97604978734035,,,True
STFT,pre_amplitude_counts,descriptive,False,T12,12.0,4,3.4514627868986087,1.206360647389988,2.97540379568189,2.741222641917696,3.6856439406628025,,,True
STFT,pre_amplitude_counts,descriptive,False,L1,13.0,5,2.715021637441164,1.9594581590175657,2.0947066641242253,1.9946501176137583,2.4311596003557963,,,True
