recording_uid,recording_id,tissue,time_days_original,time_days_zero,forskolin_day_zero,drift_reference_day_zero,observed_normalised,fitted_signal,residual,baseline_component,rhythmic_component,amplitude_envelope,linear_drift_component,acute_transient_component,centering_component,transition_weight_post
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,9.75347,8.81944,6.78472,3.26389,-0.33668030976708574,-0.19605860995812957,-0.14062169980895617,-0.34404289445438396,0.1356608512229455,0.3009079119536441,0.02201119047254032,1.2435580816854413e-58,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,9.76736,8.83333,6.78472,3.26389,-0.3167898471776449,-0.174239172847519,-0.14255067433012591,-0.34404289445438396,0.15742525590010417,0.2982681603151112,0.022066222905992198,2.0250679711511633e-59,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,9.78125,8.84722,6.78472,3.26389,-0.29636936485969195,-0.15402794051264485,-0.1423414243470471,-0.34404289445438396,0.17758145580152643,0.2956515662222471,0.022121255339444076,3.257246433602726e-60,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,9.79514,8.86111,6.78472,3.26389,-0.2769353081475811,-0.13555405165116657,-0.14138125649641453,-0.34404289445438396,0.19600031222955286,0.2930579265226362,0.022176287772895955,5.1748660356417655e-61,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,9.80903,8.875,6.78472,3.26389,-0.2540119548894318,-0.1189308367361289,-0.13508111815330287,-0.34404289445438396,0.21256849471113862,0.29048703984604285,0.022231320206347834,8.1205433209153e-62,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,9.82292,8.88889,6.78472,3.26389,-0.23647713553782257,-0.10425521010824,-0.13222192542958255,-0.34404289445438396,0.22718908890557563,0.2879387065887761,0.022286352639799712,1.2586603327733246e-62,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,9.83681,8.90278,6.78472,3.26389,-0.20974058478843352,-0.09160720074358501,-0.11813338404484851,-0.34404289445438396,0.23978206583677877,0.28541272889819336,0.02234138507325159,1.9269457374840576e-63,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,9.85069,8.91666,6.78472,3.26389,-0.21390712876534845,-0.0810564598961795,-0.13285066886916896,-0.34404289445438396,0.25027781387091486,0.28291070533794604,0.022396377886521,2.917833307782495e-64,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,9.86458,8.93055,6.78472,3.26389,-0.2080327434410058,-0.0726331741396989,-0.13539956930130692,-0.34404289445438396,0.25864606719394356,0.2804288364062665,0.02245141031997288,4.358130610509327e-65,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,9.87847,8.94444,6.78472,3.26389,-0.1985365566384969,-0.06637367255806904,-0.13216288408042787,-0.34404289445438396,0.2648505363421215,0.27796873997480626,0.022506442753424758,6.429504247494278e-66,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,9.89236,8.95833,6.78472,3.26389,-0.20388092223432738,-0.06228855638520443,-0.14159236584912294,-0.34404289445438396,0.2688806200815343,0.2755302250416315,0.022561475186876637,9.368977917096887e-67,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,9.90625,8.97222,6.78472,3.26389,-0.2053679220282086,-0.060371280069579605,-0.144996641958629,-0.34404289445438396,0.2707428639637072,0.2731131022803961,0.022616507620328515,1.3484797369850389e-67,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,9.92014,8.98611,6.78472,3.26389,-0.21953122699567154,-0.060598501858694045,-0.15893272513697748,-0.34404289445438396,0.2704606097411409,0.2707171840256427,0.022671540053780394,1.9170529844626158e-68,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,9.93403,9.0,6.78472,3.26389,-0.24132092694561397,-0.06293055928056358,-0.1783903676650504,-0.34404289445438396,0.2680735198858195,0.2683422842582322,0.022726572487232272,2.69191467182698e-69,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,9.94792,9.01389,6.78472,3.26389,-0.2595182709578632,-0.06731206363143556,-0.19220620732642762,-0.34404289445438396,0.26363698310149564,0.26598821859090127,0.02278160492068415,3.7335841534285196e-70,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,9.96181,9.02778,6.78472,3.26389,-0.28361944583492804,-0.07367260675351318,-0.20994683908141487,-0.34404289445438396,0.2572214075459661,0.26365480425394644,0.02283663735413603,5.114793227853006e-71,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,9.97569,9.04166,6.78472,3.26389,-0.29341008804216606,-0.08192097079091167,-0.2114891172512544,-0.34404289445438396,0.24891805069529827,0.2613435179474024,0.02289163016740544,6.930985888376879e-72,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,9.98958,9.05555,6.78472,3.26389,-0.29610435499543586,-0.09197118863547667,-0.2041331663599592,-0.34404289445438396,0.23881280041728137,0.2590508498176662,0.02294666260085732,9.263518557629237e-73,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.00347,9.06944,6.78472,3.26389,-0.30186095815788677,-0.10370777799959287,-0.19815318015829392,-0.34404289445438396,0.22702117861971327,0.2567782944008619,0.023001695034309197,1.2229097821375096e-73,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.01736,9.08333,6.78472,3.26389,-0.3343835576101998,-0.11700929865291172,-0.21737425895728807,-0.34404289445438396,0.21366462553294258,0.25452567525574366,0.023056727467761075,1.59459480132573e-74,-0.00968775719923139,1.0
