recording_uid,recording_id,tissue,model_spec_version,fit_procedure_version,raw_pre_baseline,raw_pre_amplitude_proxy,recording_start_day_original,fit_start_day_original,duration_days,forskolin_day_original,forskolin_day_zero,drift_reference_day_original,drift_reference_day_zero,reference_window_start_day_original,reference_window_end_day_original,reference_window_n_points,profiled_initial_phase_radians,n_parameter_starts,selected_parameter_start,n_profiled_starts,fit_pre_amplitude,fit_post_amplitude,fit_pre_period_hours,fit_post_period_hours,fit_pre_envelope_log_rate_per_day,fit_post_envelope_log_rate_per_day,fit_baseline_step,fit_phase_shift_angle_radians,fit_phase_shift_hours,fit_linear_drift_slope_per_day,fit_signed_acute_transient_amplitude,active_bound_count,boundary_hit_parameters,sse,rmse,mae,nrmse_q95_q05,r_squared
250625 to 250728::5A-T10m1_Raw.csv,5A-T10m1,DRG,msc_x10_causal_angle_halfgaussian_v1,period_multistart_profile_joint_v4,66.672,2.422399999999996,0.69444,0.94444,13.05556,7.715275,6.770835,4.201385,3.256945,0.94444,7.465275,470,-0.6066250768229771,17,period_29_27,19,0.9292285774642313,2.0206006108988017,29.860571212388734,27.911011849153976,-0.5013998202695678,-1.3998568501158766,-1.0405841485328489,2.8212019075469774,12.532274001281316,0.06723898765776566,-3.9143446703886235,1,fit_post_envelope_log_rate_per_day,381.42016223744395,0.6376764877467206,0.34191107027802015,0.3376594401699883,0.35462305798962435
250625 to 250728::5B-T12m2_Raw.csv,5B-T12m2,DRG,msc_x10_causal_angle_halfgaussian_v1,period_multistart_profile_joint_v4,97.553,2.574000000000005,0.6875,0.9375,13.05556,7.722225,6.784725,4.20139,3.26389,0.9375,7.472225,471,-1.6591581256158174,18,period_24_29,22,0.714658875463321,4.252584029412394,24.07051696075792,23.82346963584021,0.02023359417026055,-0.4851952426754651,4.273086226923031,0.8109057857522077,3.0746489909059598,-0.11953829620101986,-1.2305632308485135,0,none,403.87955401551187,0.6558328071566999,0.4021799392386115,0.11599365414651804,0.9021653316923787
250625 to 250728::5C-T12_Raw.csv,5C-T12,DRG,msc_x10_causal_angle_halfgaussian_v1,period_multistart_profile_joint_v4,42.351,7.418049999999997,0.63889,0.88889,13.10903,7.727085,6.838195,4.18056,3.29167,0.88889,7.477085,475,-1.1569699761191736,18,period_29_21,22,2.1476252460425775,3.457483857481017,29.995160377586593,25.56491188486716,-1.035995215190215,-0.24165346502117632,7.023837584015315,3.1110045661839276,12.657999680040042,0.2303212215210187,4.223854124906294,1,fit_pre_period_hours,696.6552252913533,0.8599703898591844,0.6945587890478647,0.0782773104818988,0.9611066563110644
250625 to 250728::5D-T10_Raw.csv,5D-T10,DRG,msc_x10_causal_angle_halfgaussian_v1,period_multistart_profile_joint_v4,73.36949999999999,7.612500000000004,0.64931,0.89931,13.095130000000001,7.723615,6.824305,4.184025,3.2847150000000003,0.89931,7.473615,474,-1.6898299871404718,18,period_24_21,22,1.2246155258135107,3.1233735309159396,25.292667687697246,25.124740294102505,-0.3710689918274344,-0.344801278448873,2.62059564721949,-2.5914093708661414,-10.362337613108128,-0.008013939865436739,4.398410047539028,0,none,265.8981873751479,0.5312907283003008,0.3960688539356654,0.10258659012894294,0.896583049557246
250625 to 250728::6A-T7_Raw.csv,6A-T7,DRG,msc_x10_causal_angle_halfgaussian_v1,period_multistart_profile_joint_v4,66.355,3.393799999999992,0.64236,0.89236,13.10903,7.730555,6.838195,4.18403,3.29167,0.89236,7.480555,475,-1.4638008485079181,17,period_27_24,19,1.2629515905244808,1.4442142910424687,25.315047867693217,25.237647811735435,-0.4466753808194195,-0.3741545990894508,1.5590302921652954,-3.1391005552979494,-12.608813903627306,-0.08112026257354626,-0.6424555309602118,0,none,107.01536549966578,0.33687379044522753,0.23136553451194555,0.15011781536167887,0.7923726247901712
250625 to 250728::6B-T5_Raw.csv,6B-T5,DRG,msc_x10_causal_angle_halfgaussian_v1,period_multistart_profile_joint_v4,92.248,3.299275000000001,0.64931,0.89931,13.095130000000001,7.723615,6.824305,4.184025,3.2847150000000003,0.89931,7.473615,474,-1.9614430898641029,18,conservative,22,0.62348781926761,2.4248990963381587,24.549249527065935,25.634564807774062,-0.16836997533847065,-0.30816027069405644,3.4112131503506897,2.379138157700206,9.706568930972793,0.179939013378017,-3.3090634173930464,0,none,269.6236408805729,0.5349996933155587,0.39967594655228905,0.08608807319530964,0.952486249893679
250625 to 250728::6C-SCNmm1_Raw.csv,6C-SCNmm1,SCN,msc_x10_causal_angle_halfgaussian_v1,period_multistart_profile_joint_v4,96.27950000000001,37.67564999999999,0.69444,0.94444,13.05556,7.715275,6.770835,4.201385,3.256945,0.94444,7.465275,470,0.2742509593877527,17,period_24_29,19,1.386508407222513,1.257960350969808,23.914851850008706,24.219241233853264,-0.35307543994254326,-0.8398130784952175,-0.5178451092778943,-1.0644200141742344,-4.102926117421681,0.05603136611929079,1.0367839216723362,0,none,89.76868465845061,0.3093577580251929,0.24190818224741825,0.17258529667796266,0.6114390509380394
250625 to 250728::7A-SCNmm2_Raw.csv,7A-SCNmm2,SCN,msc_x10_causal_angle_halfgaussian_v1,period_multistart_profile_joint_v4,87.18,9.820999999999998,0.68403,0.93403,13.06944,7.71875,6.78472,4.19792,3.26389,0.93403,7.46875,471,0.22454510743209877,17,empirical,19,2.0935756836424697,1.965218951303477,24.177197857577326,25.835084401995612,-0.5324733831262565,-1.0827075075010693,0.15150520865129433,-0.740324565409713,-3.0440527689634775,0.04914853290491701,1.997562110961274,0,none,134.7042167117666,0.37855297938862803,0.319814919974539,0.15903668639744176,0.6976439923479024
250625 to 250728::7B-SCNcm2_Raw.csv,7B-SCNcm2,SCN,msc_x10_causal_angle_halfgaussian_v1,period_multistart_profile_joint_v4,121.822,17.997999999999998,0.69097,0.94097,13.05556,7.725695,6.784725,4.20486,3.26389,0.94097,7.475695,471,0.6285708570678299,17,period_24_27,19,1.6911449762035404,1.70600465688781,23.955503872146863,26.747779374075538,-0.34603525678730174,-1.3919028457729639,0.09038780976091502,-1.4571184305525602,-6.203013343850295,-0.010649719744631239,1.0742088231109281,0,none,46.614692850038665,0.22280689034100307,0.14867233098990512,0.11323810634452443,0.796890613811434
250625 to 250728::7C-L1_Raw.csv,7C-L1,DRG,msc_x10_causal_angle_halfgaussian_v1,period_multistart_profile_joint_v4,32.487,2.9575999999999976,0.64236,0.89236,13.10903,7.730555,6.838195,4.18403,3.29167,0.89236,7.480555,475,-0.8065927186800268,17,period_27_24,19,1.3490203015035964,2.717313505859692,26.03826683854069,24.172487254422197,-0.5583373539723795,-0.36170764613377354,1.2539749303440326,-3.141463673759877,-12.085747419771353,-0.08371400075505138,3.551859507287969,0,none,141.51191576523337,0.3873830898317945,0.2231388054632109,0.116446039422967,0.8296467152828819
