recording_uid,recording_id,file,path,batch,position,sample_code,tissue,scn_region,spinal_region,level,recording_start_datetime,recording_end_datetime,min_time_days,max_time_days,recording_duration_days,n_raw_observations,n_analysis_observations,forskolin_status,experiment_start_date,scheduled_forskolin_date,reported_restart_datetime,forskolin_interval_start_datetime,forskolin_interval_end_datetime,forskolin_estimated_datetime,forskolin_time_days,forskolin_assignment_reason,median_sampling_interval_min,maximum_sampling_interval_min,n_sampling_gaps,n_excluded_observations
250625 to 250728::6D-SCNcm1_Raw.csv,6D-SCNcm1,6D-SCNcm1_Raw.csv,data/raw/All/250625 to 250728/6D-SCNcm1_Raw.csv,250625 to 250728,6D,SCNcm1,SCN,caudal,,,2025-07-03 16:35:00,2025-07-10 14:35:00,0.69097,7.60764,6.91667,499,499,not_administered,2025-07-03 00:00:00,2025-07-10 00:00:00,2025-07-10 17:20:00,,,,,recording_ended_before_scheduled_restart,20.0,20.0,0,0
250625 to 250728::7A-SCNmm2_Raw.csv,7A-SCNmm2,7A-SCNmm2_Raw.csv,data/raw/All/250625 to 250728/7A-SCNmm2_Raw.csv,250625 to 250728,7A,SCNmm2,SCN,medial,,,2025-07-03 16:25:00,2025-07-17 00:05:00,0.68403,14.00347,13.31944,958,958,administered_estimated,2025-07-03 00:00:00,2025-07-10 00:00:00,2025-07-10 17:20:00,2025-07-10 17:05:00,2025-07-10 17:25:00,2025-07-10 17:15:00,7.71875,midpoint_of_actual_observations_bracketing_restart,20.0,60.0,1,0
250625 to 250728::7B-SCNcm2_Raw.csv,7B-SCNcm2,7B-SCNcm2_Raw.csv,data/raw/All/250625 to 250728/7B-SCNcm2_Raw.csv,250625 to 250728,7B,SCNcm2,SCN,caudal,,,2025-07-03 16:35:00,2025-07-16 23:55:00,0.69097,13.99653,13.30556,957,957,administered_estimated,2025-07-03 00:00:00,2025-07-10 00:00:00,2025-07-10 17:20:00,2025-07-10 17:15:00,2025-07-10 17:35:00,2025-07-10 17:25:00,7.725695,midpoint_of_actual_observations_bracketing_restart,20.0,60.0,1,0
250625 to 250728::7C-L1_Raw.csv,7C-L1,7C-L1_Raw.csv,data/raw/All/250625 to 250728/7C-L1_Raw.csv,250625 to 250728,7C,L1,DRG,,lumbar,L1,2025-06-26 15:25:00,2025-07-10 00:02:00,0.64236,14.00139,13.35903,961,961,administered_estimated,2025-06-26 00:00:00,2025-07-03 00:00:00,2025-07-03 17:24:00,2025-07-03 17:22:00,2025-07-03 17:42:00,2025-07-03 17:32:00,7.730555,midpoint_of_actual_observations_bracketing_restart,20.0,57.0,1,0
250625 to 250728::7C-SCNm6_Raw.csv,7C-SCNm6,7C-SCNm6_Raw.csv,data/raw/All/250625 to 250728/7C-SCNm6_Raw.csv,250625 to 250728,7C,SCNm6,SCN,medial,,,2025-07-10 15:42:00,2025-07-18 13:22:00,0.65417,8.55694,7.902770000000001,568,568,not_administered,,,,,,,,no_scheduled_treatment_for_recording_start_date,20.0,60.0,1,0
250625 to 250728::7D-L2_Raw.csv,7D-L2,7D-L2_Raw.csv,data/raw/All/250625 to 250728/7D-L2_Raw.csv,250625 to 250728,7D,L2,DRG,,lumbar,L2,2025-06-26 15:20:00,2025-07-09 23:57:00,0.63889,13.99792,13.35903,960,960,administered_estimated,2025-06-26 00:00:00,2025-07-03 00:00:00,2025-07-03 17:24:00,2025-07-03 17:17:00,2025-07-03 17:37:00,2025-07-03 17:27:00,7.727085,midpoint_of_actual_observations_bracketing_restart,20.0,77.0,1,0
250625 to 250728::8A-L3_Raw.csv,8A-L3,8A-L3_Raw.csv,data/raw/All/250625 to 250728/8A-L3_Raw.csv,250625 to 250728,8A,L3,DRG,,lumbar,L3,2025-06-26 15:30:00,2025-07-10 00:07:00,0.64583,14.00486,13.35903,961,961,administered_estimated,2025-06-26 00:00:00,2025-07-03 00:00:00,2025-07-03 17:24:00,2025-07-03 17:07:00,2025-07-03 17:27:00,2025-07-03 17:17:00,7.720135,midpoint_of_actual_observations_bracketing_restart,20.0,57.0,1,0
250625 to 250728::8B-L2m1_Raw.csv,8B-L2m1,8B-L2m1_Raw.csv,data/raw/All/250625 to 250728/8B-L2m1_Raw.csv,250625 to 250728,8B,L2m1,DRG,,lumbar,L2,2025-07-03 16:37:00,2025-07-16 23:57:00,0.69236,13.99792,13.30556,957,957,administered_estimated,2025-07-03 00:00:00,2025-07-10 00:00:00,2025-07-10 17:20:00,2025-07-10 17:17:00,2025-07-10 17:37:00,2025-07-10 17:27:00,7.727085,midpoint_of_actual_observations_bracketing_restart,20.0,60.0,1,0
250625 to 250728::8B-L4_Raw.csv,8B-L4,8B-L4_Raw.csv,data/raw/All/250625 to 250728/8B-L4_Raw.csv,250625 to 250728,8B,L4,DRG,,lumbar,L4,2025-06-26 15:20:00,2025-07-03 15:20:00,0.63889,7.63889,7.0,505,505,not_administered,2025-06-26 00:00:00,2025-07-03 00:00:00,2025-07-03 17:24:00,,,,,recording_ended_before_scheduled_restart,20.0,20.0,0,0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,8C-L3m1_Raw.csv,data/raw/All/250625 to 250728/8C-L3m1_Raw.csv,250625 to 250728,8C,L3m1,DRG,,lumbar,L3,2025-07-03 16:25:00,2025-07-17 00:05:00,0.68403,14.00347,13.31944,958,958,administered_estimated,2025-07-03 00:00:00,2025-07-10 00:00:00,2025-07-10 17:20:00,2025-07-10 17:05:00,2025-07-10 17:25:00,2025-07-10 17:15:00,7.71875,midpoint_of_actual_observations_bracketing_restart,20.0,60.0,1,0
250625 to 250728::8D-L4-1m1_Raw.csv,8D-L4-1m1,8D-L4-1m1_Raw.csv,data/raw/All/250625 to 250728/8D-L4-1m1_Raw.csv,250625 to 250728,8D,L4-1m1,DRG,,lumbar,L4,2025-07-03 16:40:00,2025-07-17 00:00:00,0.69444,14.0,13.30556,956,956,administered_estimated,2025-07-03 00:00:00,2025-07-10 00:00:00,2025-07-10 17:20:00,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715275,midpoint_of_actual_observations_bracketing_restart,20.0,80.0,1,0
250728::6A-SCNrM1_Raw.csv,6A-SCNrM1,6A-SCNrM1_Raw.csv,data/raw/All/250728/6A-SCNrM1_Raw.csv,250728,6A,SCNrM1,SCN,rostral,,,2025-07-28 15:41:00,2025-08-11 00:02:00,0.65347,14.00139,13.34792,963,962,administered_estimated,2025-07-28 00:00:00,2025-08-04 00:00:00,2025-08-04 17:19:00,2025-08-04 17:02:00,2025-08-04 17:22:00,2025-08-04 17:12:00,7.716665,midpoint_of_actual_observations_bracketing_restart,20.0,21.0,0,1
250728::6B-SCNrM2_Raw.csv,6B-SCNrM2,6B-SCNrM2_Raw.csv,data/raw/All/250728/6B-SCNrM2_Raw.csv,250728,6B,SCNrM2,SCN,rostral,,,2025-07-28 15:52:00,2025-08-10 23:52:00,0.66111,13.99444,13.33333,960,960,administered_estimated,2025-07-28 00:00:00,2025-08-04 00:00:00,2025-08-04 17:19:00,2025-08-04 17:12:00,2025-08-04 17:32:00,2025-08-04 17:22:00,7.723615,midpoint_of_actual_observations_bracketing_restart,20.0,40.0,1,0
