recording_uid,path,batch,file,recording_id,position,sample_code,tissue,scn_region,spinal_region,level,min_time_days,max_time_days,n_points,median_sampling_interval_min,n_time_gaps,n_duplicate_times,n_missing_time,n_missing_counts,min_counts,max_counts,mean_counts,median_counts,recording_duration_days,forskolin_status,reported_restart_datetime,restart_on_file_20min_node,forskolin_window_start_datetime,forskolin_window_end_datetime,forskolin_estimated_datetime,forskolin_time_days,forskolin_window_start_days,forskolin_window_end_days
250811::1C-3FSCN_Raw.csv,data/raw/All/250811/1C-3FSCN_Raw.csv,250811,1C-3FSCN_Raw.csv,1C-3FSCN,1C,3FSCN,SCN,whole_or_unspecified,,,0.71319,12.72708,864,20.00159999999994,1,0,0,0,57.916,260.295,103.50172337962964,100.26050000000001,12.01389,administered_estimated,2025-08-18 16:30:00,True,2025-08-18 16:10:00,2025-08-18 16:30:00,2025-08-18 16:20:00,7.680555555555555,7.673611111111111,7.6875
250811::1D-4FSCN_Raw.csv,data/raw/All/250811/1D-4FSCN_Raw.csv,250811,1D-4FSCN_Raw.csv,1D-4FSCN,1D,4FSCN,SCN,whole_or_unspecified,,,0.70972,12.72361,864,20.00159999999994,1,0,0,0,70.047,195.41,97.14517245370371,94.5845,12.01389,administered_estimated,2025-08-18 16:30:00,False,2025-08-18 16:20:00,2025-08-18 16:40:00,2025-08-18 16:30:00,7.6875,7.680555555555555,7.694444444444445
250811::2C-2ML1_Raw.csv,data/raw/All/250811/2C-2ML1_Raw.csv,250811,2C-2ML1_Raw.csv,2C-2ML1,2C,2ML1,DRG,,lumbar,L1,0.71528,12.71528,863,20.00159999999994,1,0,0,0,32.971,249.566,95.84871147161066,60.989,12.0,administered_estimated,2025-08-18 16:30:00,True,2025-08-18 16:10:00,2025-08-18 16:30:00,2025-08-18 16:20:00,7.680555555555555,7.673611111111111,7.6875
250811::2D-1FL2_Raw.csv,data/raw/All/250811/2D-1FL2_Raw.csv,250811,2D-1FL2_Raw.csv,2D-1FL2,2D,1FL2,DRG,,lumbar,L2,0.71181,12.72569,864,20.00159999999994,1,0,0,0,63.942,152.013,102.50742592592593,91.6385,12.01388,administered_estimated,2025-08-18 16:30:00,False,2025-08-18 16:20:00,2025-08-18 16:40:00,2025-08-18 16:30:00,7.6875,7.680555555555555,7.694444444444445
250811::3A-1FL4_Raw.csv,data/raw/All/250811/3A-1FL4_Raw.csv,250811,3A-1FL4_Raw.csv,3A-1FL4,3A,1FL4,DRG,,lumbar,L4,0.70486,12.71875,865,20.00159999999994,1,0,0,0,52.132,73.021,69.47529364161849,70.072,12.01389,administered_estimated,2025-08-18 16:30:00,False,2025-08-18 16:20:00,2025-08-18 16:40:00,2025-08-18 16:30:00,7.6875,7.680555555555555,7.694444444444445
250811::3D-1FT10_Raw.csv,data/raw/All/250811/3D-1FT10_Raw.csv,250811,3D-1FT10_Raw.csv,3D-1FT10,3D,1FT10,DRG,,thoracic,T10,0.71319,12.72708,864,20.00159999999994,1,0,0,0,62.68,156.664,104.33057291666667,86.2045,12.01389,administered_estimated,2025-08-18 16:30:00,True,2025-08-18 16:10:00,2025-08-18 16:30:00,2025-08-18 16:20:00,7.680555555555555,7.673611111111111,7.6875
250811::4A-2MT10_Raw.csv,data/raw/All/250811/4A-2MT10_Raw.csv,250811,4A-2MT10_Raw.csv,4A-2MT10,4A,2MT10,DRG,,thoracic,T10,0.70625,12.72014,865,20.00159999999994,1,0,0,0,55.711,87.862,77.29936531791908,75.716,12.01389,administered_estimated,2025-08-18 16:30:00,False,2025-08-18 16:20:00,2025-08-18 16:40:00,2025-08-18 16:30:00,7.6875,7.680555555555555,7.694444444444445
250811::4C-2MT5_Raw.csv,data/raw/All/250811/4C-2MT5_Raw.csv,250811,4C-2MT5_Raw.csv,4C-2MT5,4C,2MT5,DRG,,thoracic,T5,0.70486,12.71875,865,20.00159999999994,1,0,0,0,30.715,116.636,53.6132034682081,48.605,12.01389,administered_estimated,2025-08-18 16:30:00,False,2025-08-18 16:20:00,2025-08-18 16:40:00,2025-08-18 16:30:00,7.6875,7.680555555555555,7.694444444444445
250811::4D-1FL4_Raw.csv,data/raw/All/250811/4D-1FL4_Raw.csv,250811,4D-1FL4_Raw.csv,4D-1FL4,4D,1FL4,DRG,,lumbar,L4,0.71528,12.71528,863,20.00159999999994,1,0,0,0,64.5,173.274,107.81224101969873,89.691,12.0,administered_estimated,2025-08-18 16:30:00,True,2025-08-18 16:10:00,2025-08-18 16:30:00,2025-08-18 16:20:00,7.680555555555555,7.673611111111111,7.6875
250811::5A-2ML2_Raw.csv,data/raw/All/250811/5A-2ML2_Raw.csv,250811,5A-2ML2_Raw.csv,5A-2ML2,5A,2ML2,DRG,,lumbar,L2,0.70833,12.72222,864,20.00159999999994,1,0,0,0,53.118,121.094,87.27921990740741,76.5935,12.01389,administered_estimated,2025-08-18 16:30:00,False,2025-08-18 16:20:00,2025-08-18 16:40:00,2025-08-18 16:30:00,7.6875,7.680555555555555,7.694444444444445
