Date,Time (hr:min),time_days,counts_sec,measurement_datetime,file,path,batch,recording_id,position,sample_code,recording_uid,tissue,scn_region,spinal_region,level,forskolin_status,reported_restart_datetime,restart_on_file_20min_node,forskolin_window_start_datetime,forskolin_window_end_datetime,forskolin_estimated_datetime,forskolin_time_days,forskolin_window_start_days,forskolin_window_end_days
2025-07-04,0:20,1.01389,108.993,2025-07-04 00:20:00,1B-L1m2_Raw.csv,data/raw/All/250625 to 250728/1B-L1m2_Raw.csv,250625 to 250728,1B-L1m2,1B,L1m2,250625 to 250728::1B-L1m2_Raw.csv,DRG,,lumbar,L1,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
2025-07-04,0:40,1.02778,109.079,2025-07-04 00:40:00,1B-L1m2_Raw.csv,data/raw/All/250625 to 250728/1B-L1m2_Raw.csv,250625 to 250728,1B-L1m2,1B,L1m2,250625 to 250728::1B-L1m2_Raw.csv,DRG,,lumbar,L1,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
2025-07-04,1:00,1.04167,108.875,2025-07-04 01:00:00,1B-L1m2_Raw.csv,data/raw/All/250625 to 250728/1B-L1m2_Raw.csv,250625 to 250728,1B-L1m2,1B,L1m2,250625 to 250728::1B-L1m2_Raw.csv,DRG,,lumbar,L1,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
2025-07-04,1:20,1.05556,108.707,2025-07-04 01:20:00,1B-L1m2_Raw.csv,data/raw/All/250625 to 250728/1B-L1m2_Raw.csv,250625 to 250728,1B-L1m2,1B,L1m2,250625 to 250728::1B-L1m2_Raw.csv,DRG,,lumbar,L1,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
2025-07-04,1:40,1.06944,107.908,2025-07-04 01:40:00,1B-L1m2_Raw.csv,data/raw/All/250625 to 250728/1B-L1m2_Raw.csv,250625 to 250728,1B-L1m2,1B,L1m2,250625 to 250728::1B-L1m2_Raw.csv,DRG,,lumbar,L1,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
2025-07-04,2:00,1.08333,108.046,2025-07-04 02:00:00,1B-L1m2_Raw.csv,data/raw/All/250625 to 250728/1B-L1m2_Raw.csv,250625 to 250728,1B-L1m2,1B,L1m2,250625 to 250728::1B-L1m2_Raw.csv,DRG,,lumbar,L1,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
2025-07-04,2:20,1.09722,107.229,2025-07-04 02:20:00,1B-L1m2_Raw.csv,data/raw/All/250625 to 250728/1B-L1m2_Raw.csv,250625 to 250728,1B-L1m2,1B,L1m2,250625 to 250728::1B-L1m2_Raw.csv,DRG,,lumbar,L1,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
2025-07-04,2:40,1.11111,106.321,2025-07-04 02:40:00,1B-L1m2_Raw.csv,data/raw/All/250625 to 250728/1B-L1m2_Raw.csv,250625 to 250728,1B-L1m2,1B,L1m2,250625 to 250728::1B-L1m2_Raw.csv,DRG,,lumbar,L1,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
2025-07-04,3:00,1.125,106.187,2025-07-04 03:00:00,1B-L1m2_Raw.csv,data/raw/All/250625 to 250728/1B-L1m2_Raw.csv,250625 to 250728,1B-L1m2,1B,L1m2,250625 to 250728::1B-L1m2_Raw.csv,DRG,,lumbar,L1,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
2025-07-04,3:20,1.13889,105.332,2025-07-04 03:20:00,1B-L1m2_Raw.csv,data/raw/All/250625 to 250728/1B-L1m2_Raw.csv,250625 to 250728,1B-L1m2,1B,L1m2,250625 to 250728::1B-L1m2_Raw.csv,DRG,,lumbar,L1,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
