method,scenario_family,scenario_level_number,scenario_level,added_component,target_status,method_applicable,primary_metric_name,primary_metric_unit,metric,point_estimate,ci_lower_95,ci_upper_95,n_anchors_valid,bootstrap_replicates,bootstrap_seed
CWT_pyBOAT,phase_shift_hours,3,S3_pre_period,pre_period,difficult,True,circular_absolute_error_radians,radians,phase_equivalent_absolute_error_hours_deterioration_from_target_only,0.09917581232934666,-0.03445213693986973,0.4614456558408252,11,2000,20260902
CWT_pyBOAT,phase_shift_hours,3,S3_pre_period,pre_period,difficult,True,circular_absolute_error_radians,radians,ratio_log_error,0.0241151302216011,0.0095564139972702,0.0305880670377782,11,2000,20260902
CWT_pyBOAT,phase_shift_hours,3,S3_pre_period,pre_period,difficult,True,circular_absolute_error_radians,radians,ratio_log_error_deterioration_from_target_only,0.005181867991561052,0.0004734357336531501,0.027792516804511003,11,2000,20260902
CWT_pyBOAT,phase_shift_hours,3,S3_pre_period,pre_period,difficult,True,circular_absolute_error_radians,radians,processing_success_fraction,1.0,1.0,1.0,11,2000,20260902
CWT_pyBOAT,phase_shift_hours,3,S3_pre_period,pre_period,difficult,True,circular_absolute_error_radians,radians,valid_fraction,1.0,1.0,1.0,11,2000,20260902
CWT_pyBOAT,phase_shift_hours,3,S3_pre_period,pre_period,eligible,True,circular_absolute_error_radians,radians,primary_error,0.1142541544763569,0.1034087662545311,0.12477664730937166,41,2000,20260902
CWT_pyBOAT,phase_shift_hours,3,S3_pre_period,pre_period,eligible,True,circular_absolute_error_radians,radians,primary_error_deterioration_from_target_only,0.0003349130256076194,-0.0041325309527415754,0.012908617954721535,41,2000,20260902
CWT_pyBOAT,phase_shift_hours,3,S3_pre_period,pre_period,eligible,True,circular_absolute_error_radians,radians,phase_equivalent_absolute_error_hours,0.43641872288873285,0.3949923914026321,0.476611684841293,41,2000,20260902
CWT_pyBOAT,phase_shift_hours,3,S3_pre_period,pre_period,eligible,True,circular_absolute_error_radians,radians,phase_equivalent_absolute_error_hours_deterioration_from_target_only,0.0012792735247515452,-0.015785105486617948,0.04930728854348937,41,2000,20260902
CWT_pyBOAT,phase_shift_hours,3,S3_pre_period,pre_period,eligible,True,circular_absolute_error_radians,radians,ratio_log_error,0.0051811037100739,0.0027643414929394497,0.009228739612356051,41,2000,20260902
CWT_pyBOAT,phase_shift_hours,3,S3_pre_period,pre_period,eligible,True,circular_absolute_error_radians,radians,ratio_log_error_deterioration_from_target_only,0.00024615058991,-2.873497247440004e-05,0.00090583979250845,41,2000,20260902
CWT_pyBOAT,phase_shift_hours,3,S3_pre_period,pre_period,eligible,True,circular_absolute_error_radians,radians,processing_success_fraction,1.0,1.0,1.0,41,2000,20260902
CWT_pyBOAT,phase_shift_hours,3,S3_pre_period,pre_period,eligible,True,circular_absolute_error_radians,radians,valid_fraction,1.0,1.0,1.0,41,2000,20260902
CWT_pyBOAT,phase_shift_hours,3,S3_pre_period,pre_period,ineligible,True,circular_absolute_error_radians,radians,primary_error,0.14522980765615268,,,1,0,20260902
CWT_pyBOAT,phase_shift_hours,3,S3_pre_period,pre_period,ineligible,True,circular_absolute_error_radians,radians,primary_error_deterioration_from_target_only,0.08533029230375933,,,1,0,20260902
CWT_pyBOAT,phase_shift_hours,3,S3_pre_period,pre_period,ineligible,True,circular_absolute_error_radians,radians,phase_equivalent_absolute_error_hours,0.5547370025462852,,,1,0,20260902
CWT_pyBOAT,phase_shift_hours,3,S3_pre_period,pre_period,ineligible,True,circular_absolute_error_radians,radians,phase_equivalent_absolute_error_hours_deterioration_from_target_only,0.32593770757487067,,,1,0,20260902
