method,scenario_family,scenario_level_number,scenario_level,added_component,target_status,method_applicable,primary_metric_name,primary_metric_unit,n_anchors_total,n_anchors_valid,median_processing_success_fraction,median_valid_fraction,median_primary_error,q25_primary_error,q75_primary_error,median_primary_error_deterioration,median_trajectory_pearson,median_trajectory_pearson_deterioration,median_target_segment_shape_nrmse,median_target_segment_shape_nrmse_deterioration,median_envelope_log_rate_error_per_day,median_envelope_log_rate_absolute_error_per_day,q25_envelope_log_rate_absolute_error_per_day,q75_envelope_log_rate_absolute_error_per_day,median_envelope_log_rate_absolute_error_deterioration,median_phase_equivalent_absolute_error_hours,median_phase_equivalent_absolute_error_hours_deterioration,median_ratio_log_error,median_ratio_log_error_deterioration
Hilbert,post_amplitude_trajectory,3,S3_baseline_step,baseline_step,difficult,True,target_segment_calibrated_absolute_nrmse,NRMSE,10,10,1.0,1.0,0.47300918423544674,0.4158039594205418,0.5789664678924272,0.01768535047003989,0.9591689640843157,0.0009580910032020995,0.3194953015562416,0.005104466318723775,0.5053106513766396,0.5523849310905677,0.33922446623435176,0.8704877369551851,0.026147246786134365,,,0.13778009567534727,-0.004528211702855377
Hilbert,post_amplitude_trajectory,3,S3_baseline_step,baseline_step,eligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,42,42,1.0,1.0,0.12413229105994229,0.09508245182680883,0.15791312344438974,0.011804901660066074,0.9940647160511658,0.0003766421330667069,0.07867239109609142,0.012103296427948124,-0.06260387126001571,0.0717372480980742,0.03962766716112327,0.12806080456842867,0.009280805538680478,,,0.037502012802112655,-0.008482535557051352
Hilbert,post_amplitude_trajectory,3,S3_baseline_step,baseline_step,ineligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,1,1,1.0,1.0,0.3799600094023323,0.3799600094023323,0.3799600094023323,-0.05522164746077174,0.9858408780245629,-0.005276340909011579,0.2384387078738181,-0.044319038390056256,0.2565410167879617,0.2565410167879617,0.2565410167879617,0.2565410167879617,-0.05545874839069642,,,0.3651086803581905,-0.05519864112556658
Hilbert,post_amplitude_trajectory,4,S4_acute_treatment_transient,acute_treatment_transient,difficult,True,target_segment_calibrated_absolute_nrmse,NRMSE,10,10,1.0,1.0,0.5145965758222718,0.33643492214009707,0.6112440349490875,-0.002208762548581336,0.9693328399545411,0.0019201846196715833,0.3543955890978302,0.01226900448502861,0.35001580602587795,0.4207743627431497,0.19053985813758212,0.8759664344887963,-0.03828162813065089,,,0.29684248455516293,0.06260524515230764
Hilbert,post_amplitude_trajectory,4,S4_acute_treatment_transient,acute_treatment_transient,eligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,42,42,1.0,1.0,0.12006011769630805,0.09677813948366468,0.14934789757420186,0.007449881745411967,0.991423635967698,0.0008410046235913515,0.06827236695217423,0.0058563009764659255,-0.06674726501254358,0.07425456726996872,0.04551918334385892,0.10998157600133443,-0.0022802458565963496,,,0.050272519920956896,0.006728203724460424
Hilbert,post_amplitude_trajectory,4,S4_acute_treatment_transient,acute_treatment_transient,ineligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,1,1,1.0,1.0,0.5459979612092332,0.5459979612092332,0.5459979612092332,0.026781211220029716,0.9567906318843689,0.021427243167678134,0.40378213440451116,0.09777871768067914,0.5797715665575381,0.5797715665575381,0.5797715665575381,0.5797715665575381,0.1829876620359226,,,0.28567034146685705,-0.09892656836094552
Hilbert,post_period_hours,0,S0_target_only,target_only,difficult,True,absolute_error_hours,hours,3,3,1.0,1.0,0.16217995621904713,0.11027516213257194,0.26835899793683016,0.0,,,,,,,,,,,,0.0228527654522825,0.0
Hilbert,post_period_hours,0,S0_target_only,target_only,eligible,True,absolute_error_hours,hours,49,49,1.0,1.0,0.20193839121440327,0.1262284585801421,0.30864600532396835,0.0,,,,,,,,,,,,0.0259580963166102,0.0
Hilbert,post_period_hours,0,S0_target_only,target_only,ineligible,True,absolute_error_hours,hours,1,1,1.0,1.0,0.07755540938646988,0.07755540938646988,0.07755540938646988,0.0,,,,,,,,,,,,0.07079546129155775,0.0
Hilbert,post_period_hours,1,S1_post_amplitude,post_amplitude,difficult,True,absolute_error_hours,hours,3,3,1.0,1.0,0.17115216060536653,0.0918527402957352,0.30860786392512907,0.0018298545251678178,,,,,,,,,,,,0.022359502186138448,-0.005153330108786797
