method,scenario_family,scenario_level_number,scenario_level,added_component,target_status,tissue,anchor_recording_uid,anchor_recording_id,method_applicable,primary_metric_name,primary_metric_unit,n_variants,processing_success_fraction,valid_fraction,median_primary_error,median_primary_error_deterioration,median_trajectory_pearson,median_trajectory_pearson_deterioration,median_target_segment_shape_nrmse,median_target_segment_shape_nrmse_deterioration,median_envelope_log_rate_error_per_day,median_envelope_log_rate_absolute_error_per_day,median_envelope_log_rate_absolute_error_deterioration,median_phase_equivalent_absolute_error_hours,median_phase_equivalent_absolute_error_hours_deterioration,median_ratio_log_error,median_ratio_log_error_deterioration
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,eligible,SCN,250811::1C-3FSCN_Raw.csv,1C-3FSCN,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.11785691492858996,0.0,,,,,,,,0.450180254122706,0.0,0.01005823786065965,0.0
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,eligible,SCN,250811::1D-4FSCN_Raw.csv,1D-4FSCN,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.11414270768853108,0.0,,,,,,,,0.4359930275165522,0.0,0.00932757866281065,0.0
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,eligible,SCN,251003::2A- M1SCn_Raw.csv,2A- M1SCn,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.16151607901707132,0.0,,,,,,,,0.6169459767453134,0.0,0.0009315071015747001,0.0
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,eligible,SCN,251003::4B-M3SCN_Raw.csv,4B-M3SCN,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.013031633481125349,0.0,,,,,,,,0.04977717324199063,0.0,0.0003592617445549,0.0
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,ineligible,DRG,250625 to 250728::5A-T10m1_Raw.csv,5A-T10m1,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.060746659276013304,0.0,,,,,,,,0.2320351464023197,0.0,0.01006986547469,0.0
CWT_pyBOAT,phase_shift_hours,1,S1_pre_amplitude,pre_amplitude,difficult,DRG,250625 to 250728::1D-L2m2_Raw.csv,1D-L2m2,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.07609433105025154,-0.00045257574972978887,,,,,,,,0.2906589342700471,-0.0017287120246324006,0.00457827350658665,0.004428659824409471
CWT_pyBOAT,phase_shift_hours,1,S1_pre_amplitude,pre_amplitude,difficult,DRG,250625 to 250728::4B-T12m2_Raw.csv,4B-T12m2,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.040393761434790454,-0.0024978682084686454,,,,,,,,0.15429280325812011,-0.00954115374167716,0.01119756100454385,0.011041724136160527
CWT_pyBOAT,phase_shift_hours,1,S1_pre_amplitude,pre_amplitude,difficult,DRG,250625 to 250728::5C-T12_Raw.csv,5C-T12,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.1413721535498207,0.0005540013354303763,,,,,,,,0.5400018492720097,0.0021161292243181314,0.006794605678141051,0.0005462810503607507
CWT_pyBOAT,phase_shift_hours,1,S1_pre_amplitude,pre_amplitude,difficult,DRG,250625 to 250728::8A-L3_Raw.csv,8A-L3,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.11769238036998608,-0.0013607573316321009,,,,,,,,0.449551778403236,-0.005197710136266881,0.0081204875213039,0.0018193199090512
CWT_pyBOAT,phase_shift_hours,1,S1_pre_amplitude,pre_amplitude,difficult,DRG,250811::2C-2ML1_Raw.csv,2C-2ML1,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.1901582648001292,0.0070056143612511335,,,,,,,,0.7263510675052351,0.02675947571972853,0.041351831695194255,0.02181386656202115
CWT_pyBOAT,phase_shift_hours,1,S1_pre_amplitude,pre_amplitude,difficult,DRG,250811::5A-2ML2_Raw.csv,5A-2ML2,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.14790552347067276,-0.015496994746918347,,,,,,,,0.564957484102846,-0.05919415960898855,0.03292188502009345,0.008156134898152348
CWT_pyBOAT,phase_shift_hours,1,S1_pre_amplitude,pre_amplitude,difficult,DRG,250811::7C-1FT12_Raw.csv,7C-1FT12,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.241029792372506,-0.009760533905552649,,,,,,,,0.9206659893239411,-0.037282493238833925,0.02381842723226085,0.004227920697716499
CWT_pyBOAT,phase_shift_hours,1,S1_pre_amplitude,pre_amplitude,difficult,DRG,250811::8A-1FT5_Raw.csv,8A-1FT5,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.42033867961366855,0.28749986400393013,,,,,,,,1.6055754871976604,1.0981685878673555,0.0221599789937447,-0.0020968919727540006
CWT_pyBOAT,phase_shift_hours,1,S1_pre_amplitude,pre_amplitude,difficult,DRG,251003::2C- M1L1_Raw.csv,2C- M1L1,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.22691001841795044,0.13394828657925473,,,,,,,,0.8667324256389559,0.5116447662666762,0.0188882531789761,0.01509910335768745
CWT_pyBOAT,phase_shift_hours,1,S1_pre_amplitude,pre_amplitude,difficult,DRG,251003::2D- M1L4_Raw.csv,2D- M1L4,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.10169223998978438,-5.751778437002031e-05,,,,,,,,0.3884357440430759,-0.00021970175275637382,0.00111913013340805,7.451448492500198e-07
CWT_pyBOAT,phase_shift_hours,1,S1_pre_amplitude,pre_amplitude,difficult,SCN,250728::6A-SCNrM1_Raw.csv,6A-SCNrM1,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.03267516015015204,-0.0007741240604097754,,,,,,,,0.12480991810118433,-0.002956936098734042,0.0061778654090107,0.005890519855565549
CWT_pyBOAT,phase_shift_hours,1,S1_pre_amplitude,pre_amplitude,eligible,DRG,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.14115358500443298,0.004890940605388749,,,,,,,,0.539166978926341,0.01868201696919569,0.00397293237066895,0.0007368548573487002
