calibration_id,source_grid_id,method,segment,period_hours,amplitude_gt,amplitude_estimated,processing_success,failure_reason
cal_0016,SYN_A029_1A-1FSCN_V000,Hilbert,pre,26.0,2.0,2.052425759551868,True,
cal_0016,SYN_A029_1A-1FSCN_V000,Hilbert,post,26.0,2.0,2.043896355647944,True,
cal_0016,SYN_A029_1A-1FSCN_V000,CWT_pyBOAT,pre,26.0,2.0,1.9842587011453376,True,
cal_0016,SYN_A029_1A-1FSCN_V000,CWT_pyBOAT,post,26.0,2.0,1.9826746780945785,True,
cal_0017,SYN_A029_1A-1FSCN_V000,STFT,pre,28.0,2.0,1.7653626538018385,True,
cal_0017,SYN_A029_1A-1FSCN_V000,STFT,post,28.0,2.0,1.7653710486402576,True,
cal_0017,SYN_A029_1A-1FSCN_V000,Hilbert,pre,28.0,2.0,1.9347017935883617,True,
cal_0017,SYN_A029_1A-1FSCN_V000,Hilbert,post,28.0,2.0,1.8021301729593668,True,
cal_0017,SYN_A029_1A-1FSCN_V000,CWT_pyBOAT,pre,28.0,2.0,1.9765021886818865,True,
cal_0017,SYN_A029_1A-1FSCN_V000,CWT_pyBOAT,post,28.0,2.0,1.9820468607703678,True,
cal_0018,SYN_A029_1A-1FSCN_V000,STFT,pre,30.0,2.0,1.7462317058460601,True,
cal_0018,SYN_A029_1A-1FSCN_V000,STFT,post,30.0,2.0,1.7462317058460604,True,
cal_0018,SYN_A029_1A-1FSCN_V000,Hilbert,pre,30.0,2.0,1.5398188475262928,True,
cal_0018,SYN_A029_1A-1FSCN_V000,Hilbert,post,30.0,2.0,1.4071948913025032,True,
cal_0018,SYN_A029_1A-1FSCN_V000,CWT_pyBOAT,pre,30.0,2.0,1.9663595933681814,True,
cal_0018,SYN_A029_1A-1FSCN_V000,CWT_pyBOAT,post,30.0,2.0,1.968429226461787,True,
cal_0019,SYN_A029_1A-1FSCN_V000,STFT,pre,20.0,4.0,4.328331421781284,True,
cal_0019,SYN_A029_1A-1FSCN_V000,STFT,post,20.0,4.0,4.328305051263893,True,
cal_0019,SYN_A029_1A-1FSCN_V000,Hilbert,pre,20.0,4.0,3.7350584404855676,True,
cal_0019,SYN_A029_1A-1FSCN_V000,Hilbert,post,20.0,4.0,3.718516726826138,True,
cal_0019,SYN_A029_1A-1FSCN_V000,CWT_pyBOAT,pre,20.0,4.0,3.9885848332040696,True,
cal_0019,SYN_A029_1A-1FSCN_V000,CWT_pyBOAT,post,20.0,4.0,3.9895198721803515,True,
cal_0020,SYN_A029_1A-1FSCN_V000,STFT,pre,22.0,4.0,4.300934651913355,True,
cal_0020,SYN_A029_1A-1FSCN_V000,STFT,post,22.0,4.0,4.299257644870929,True,
cal_0020,SYN_A029_1A-1FSCN_V000,Hilbert,pre,22.0,4.0,4.0253677595981845,True,
cal_0020,SYN_A029_1A-1FSCN_V000,Hilbert,post,22.0,4.0,3.9973168812598976,True,
cal_0020,SYN_A029_1A-1FSCN_V000,CWT_pyBOAT,pre,22.0,4.0,3.9811312818424174,True,
cal_0020,SYN_A029_1A-1FSCN_V000,CWT_pyBOAT,post,22.0,4.0,3.9813728697244466,True,
cal_0021,SYN_A029_1A-1FSCN_V000,STFT,pre,24.0,4.0,4.018251013145005,True,
cal_0021,SYN_A029_1A-1FSCN_V000,STFT,post,24.0,4.0,4.018251013145009,True,
cal_0021,SYN_A029_1A-1FSCN_V000,Hilbert,pre,24.0,4.0,4.048033157651481,True,
cal_0021,SYN_A029_1A-1FSCN_V000,Hilbert,post,24.0,4.0,4.0900156565498005,True,
cal_0021,SYN_A029_1A-1FSCN_V000,CWT_pyBOAT,pre,24.0,4.0,3.9774153373999948,True,
cal_0021,SYN_A029_1A-1FSCN_V000,CWT_pyBOAT,post,24.0,4.0,3.9778517208559716,True,
cal_0022,SYN_A029_1A-1FSCN_V000,STFT,pre,26.0,4.0,3.7158660562210324,True,
cal_0022,SYN_A029_1A-1FSCN_V000,STFT,post,26.0,4.0,3.7114527405821187,True,
cal_0022,SYN_A029_1A-1FSCN_V000,Hilbert,pre,26.0,4.0,4.104851519103736,True,
cal_0022,SYN_A029_1A-1FSCN_V000,Hilbert,post,26.0,4.0,4.087792711295888,True,
cal_0022,SYN_A029_1A-1FSCN_V000,CWT_pyBOAT,pre,26.0,4.0,3.9685174022906753,True,
cal_0022,SYN_A029_1A-1FSCN_V000,CWT_pyBOAT,post,26.0,4.0,3.965349356189157,True,
cal_0023,SYN_A029_1A-1FSCN_V000,STFT,pre,28.0,4.0,3.530725307603677,True,
cal_0023,SYN_A029_1A-1FSCN_V000,STFT,post,28.0,4.0,3.5307420972805152,True,
cal_0023,SYN_A029_1A-1FSCN_V000,Hilbert,pre,28.0,4.0,3.8694035871767234,True,
cal_0023,SYN_A029_1A-1FSCN_V000,Hilbert,post,28.0,4.0,3.6042603459187337,True,
cal_0023,SYN_A029_1A-1FSCN_V000,CWT_pyBOAT,pre,28.0,4.0,3.953004377363773,True,
cal_0023,SYN_A029_1A-1FSCN_V000,CWT_pyBOAT,post,28.0,4.0,3.9640937215407357,True,
cal_0024,SYN_A029_1A-1FSCN_V000,STFT,pre,30.0,4.0,3.4924634116921203,True,
cal_0024,SYN_A029_1A-1FSCN_V000,STFT,post,30.0,4.0,3.4924634116921207,True,
cal_0024,SYN_A029_1A-1FSCN_V000,Hilbert,pre,30.0,4.0,3.0796376950525857,True,
cal_0024,SYN_A029_1A-1FSCN_V000,Hilbert,post,30.0,4.0,2.8143897826050064,True,
cal_0024,SYN_A029_1A-1FSCN_V000,CWT_pyBOAT,pre,30.0,4.0,3.932719186736363,True,
cal_0024,SYN_A029_1A-1FSCN_V000,CWT_pyBOAT,post,30.0,4.0,3.936858452923574,True,
cal_0025,SYN_A034_2D-1FL2_V000,STFT,pre,20.0,0.5,0.5410414277226605,True,
cal_0025,SYN_A034_2D-1FL2_V000,STFT,post,20.0,0.5,0.5410426865429823,True,
cal_0025,SYN_A034_2D-1FL2_V000,Hilbert,pre,20.0,0.5,0.4668438018530711,True,
cal_0025,SYN_A034_2D-1FL2_V000,Hilbert,post,20.0,0.5,0.46464110738598513,True,
cal_0025,SYN_A034_2D-1FL2_V000,CWT_pyBOAT,pre,20.0,0.5,0.49857310408315286,True,
cal_0025,SYN_A034_2D-1FL2_V000,CWT_pyBOAT,post,20.0,0.5,0.4986922839491253,True,
cal_0026,SYN_A034_2D-1FL2_V000,STFT,pre,22.0,0.5,0.5376168314891694,True,
cal_0026,SYN_A034_2D-1FL2_V000,STFT,post,22.0,0.5,0.5374583653577316,True,
cal_0026,SYN_A034_2D-1FL2_V000,Hilbert,pre,22.0,0.5,0.5031830375969024,True,
cal_0026,SYN_A034_2D-1FL2_V000,Hilbert,post,22.0,0.5,0.49981831411437194,True,
cal_0026,SYN_A034_2D-1FL2_V000,CWT_pyBOAT,pre,22.0,0.5,0.4976414102138942,True,
cal_0026,SYN_A034_2D-1FL2_V000,CWT_pyBOAT,post,22.0,0.5,0.49770403540486474,True,
cal_0027,SYN_A034_2D-1FL2_V000,STFT,pre,24.0,0.5,0.5022813766431257,True,
cal_0027,SYN_A034_2D-1FL2_V000,STFT,post,24.0,0.5,0.5022813766431261,True,
cal_0027,SYN_A034_2D-1FL2_V000,Hilbert,pre,24.0,0.5,0.506010475987068,True,
cal_0027,SYN_A034_2D-1FL2_V000,Hilbert,post,24.0,0.5,0.5111371692312036,True,
cal_0027,SYN_A034_2D-1FL2_V000,CWT_pyBOAT,pre,24.0,0.5,0.49714546370599627,True,
cal_0027,SYN_A034_2D-1FL2_V000,CWT_pyBOAT,post,24.0,0.5,0.49728580046906046,True,
cal_0028,SYN_A034_2D-1FL2_V000,STFT,pre,26.0,0.5,0.46448325702762905,True,
cal_0028,SYN_A034_2D-1FL2_V000,STFT,post,26.0,0.5,0.4639850950766744,True,
cal_0028,SYN_A034_2D-1FL2_V000,Hilbert,pre,26.0,0.5,0.5131635234514278,True,
cal_0028,SYN_A034_2D-1FL2_V000,Hilbert,post,26.0,0.5,0.5112104337920549,True,
cal_0028,SYN_A034_2D-1FL2_V000,CWT_pyBOAT,pre,26.0,0.5,0.4960137108834388,True,
cal_0028,SYN_A034_2D-1FL2_V000,CWT_pyBOAT,post,26.0,0.5,0.4962045894507827,True,
cal_0029,SYN_A034_2D-1FL2_V000,STFT,pre,28.0,0.5,0.44134066345045964,True,
cal_0029,SYN_A034_2D-1FL2_V000,STFT,post,28.0,0.5,0.4413427621600644,True,
cal_0029,SYN_A034_2D-1FL2_V000,Hilbert,pre,28.0,0.5,0.4836661007792844,True,
cal_0029,SYN_A034_2D-1FL2_V000,Hilbert,post,28.0,0.5,0.4503493575535735,True,
cal_0029,SYN_A034_2D-1FL2_V000,CWT_pyBOAT,pre,28.0,0.5,0.49405123434606735,True,
cal_0029,SYN_A034_2D-1FL2_V000,CWT_pyBOAT,post,28.0,0.5,0.49562053635440345,True,
