scenario_number,scenario_id,profile_type,direction,duration_hours,method,metric,primary_metric,n_anchors_total,n_anchors_valid,median,ci95_low,ci95_high,bootstrap_repeats
4,sustained_lengthening_24h,causal_sustained_transition,lengthening,24.0,Hilbert,within_1h_fraction,False,53,53,1.0,1.0,1.0,2000
4,sustained_lengthening_24h,causal_sustained_transition,lengthening,24.0,STFT,primary_rmse_hours,True,53,53,0.3003328155971629,0.2699049057486116,0.30622694033783776,2000
4,sustained_lengthening_24h,causal_sustained_transition,lengthening,24.0,STFT,full_trajectory_rmse_hours,False,53,53,0.2203077706400638,0.21756675142152776,0.22293387473498086,2000
4,sustained_lengthening_24h,causal_sustained_transition,lengthening,24.0,STFT,primary_bias_hours,False,53,53,0.0024793086505468915,-0.02268465207478216,0.016859832236867028,2000
4,sustained_lengthening_24h,causal_sustained_transition,lengthening,24.0,STFT,primary_pearson,False,53,53,0.9769088612582407,0.9759603160061039,0.9811448415428938,2000
4,sustained_lengthening_24h,causal_sustained_transition,lengthening,24.0,STFT,dynamic_range_ratio,False,53,53,1.1178167641325547,1.1178167641325547,1.1178167641325547,2000
4,sustained_lengthening_24h,causal_sustained_transition,lengthening,24.0,STFT,timing_error_hours,False,53,53,1.8330478125000127,1.832927812500003,1.8838851562500167,2000
4,sustained_lengthening_24h,causal_sustained_transition,lengthening,24.0,STFT,absolute_timing_error_hours,False,53,53,1.8330478125000127,1.832927812500003,1.8838851562500167,2000
4,sustained_lengthening_24h,causal_sustained_transition,lengthening,24.0,STFT,within_1h_fraction,False,53,53,1.0,1.0,1.0,2000
5,transient_lengthening_24h,causal_transient_pulse,lengthening,24.0,CWT_pyBOAT,primary_rmse_hours,True,53,53,0.8068428141534904,0.806573772236504,0.8075616696640382,2000
5,transient_lengthening_24h,causal_transient_pulse,lengthening,24.0,CWT_pyBOAT,full_trajectory_rmse_hours,False,53,53,0.4659594137036206,0.46547997692789206,0.49001633493049523,2000
5,transient_lengthening_24h,causal_transient_pulse,lengthening,24.0,CWT_pyBOAT,primary_bias_hours,False,53,53,-0.06858970175560739,-0.06894110914219047,-0.06792202772109844,2000
5,transient_lengthening_24h,causal_transient_pulse,lengthening,24.0,CWT_pyBOAT,primary_pearson,False,53,53,0.6373056483671472,0.6351975816958285,0.6383429462868502,2000
5,transient_lengthening_24h,causal_transient_pulse,lengthening,24.0,CWT_pyBOAT,dynamic_range_ratio,False,53,53,0.14421644370745848,0.14311971114024352,0.14421693990391798,2000
5,transient_lengthening_24h,causal_transient_pulse,lengthening,24.0,CWT_pyBOAT,timing_error_hours,False,53,53,1.2166799999997977,0.49992000000000303,2.1666000000000167,2000
5,transient_lengthening_24h,causal_transient_pulse,lengthening,24.0,CWT_pyBOAT,absolute_timing_error_hours,False,53,53,2.566600000000477,2.1666000000000167,2.581592653061648,2000
5,transient_lengthening_24h,causal_transient_pulse,lengthening,24.0,CWT_pyBOAT,within_1h_fraction,False,53,53,0.8571428571428571,0.8571428571428571,0.8571428571428571,2000
5,transient_lengthening_24h,causal_transient_pulse,lengthening,24.0,Hilbert,primary_rmse_hours,True,53,53,0.7248115736728353,0.7215499222203835,0.7500310257614194,2000
5,transient_lengthening_24h,causal_transient_pulse,lengthening,24.0,Hilbert,full_trajectory_rmse_hours,False,53,53,0.49855325689782926,0.47701709598851977,0.5058127211719502,2000
5,transient_lengthening_24h,causal_transient_pulse,lengthening,24.0,Hilbert,primary_bias_hours,False,53,53,-0.01942268950918827,-0.020916439339293293,0.00742999158052271,2000
5,transient_lengthening_24h,causal_transient_pulse,lengthening,24.0,Hilbert,primary_pearson,False,53,53,0.6680663125858404,0.6613834553202168,0.6755073640127701,2000
5,transient_lengthening_24h,causal_transient_pulse,lengthening,24.0,Hilbert,dynamic_range_ratio,False,53,53,0.2879606207272928,0.24715630677684589,0.3048040754409475,2000
5,transient_lengthening_24h,causal_transient_pulse,lengthening,24.0,Hilbert,timing_error_hours,False,53,53,-1.9039226165133414,-2.493699455143684,-1.229358515773157,2000
5,transient_lengthening_24h,causal_transient_pulse,lengthening,24.0,Hilbert,absolute_timing_error_hours,False,53,53,1.9039226165133414,1.229358515773157,2.493699455143684,2000
5,transient_lengthening_24h,causal_transient_pulse,lengthening,24.0,Hilbert,within_1h_fraction,False,53,53,0.8571428571428571,0.8571428571428571,0.9285714285714286,2000
5,transient_lengthening_24h,causal_transient_pulse,lengthening,24.0,STFT,primary_rmse_hours,True,53,53,0.5802894706819468,0.5802894706819468,0.5875248746749754,2000
5,transient_lengthening_24h,causal_transient_pulse,lengthening,24.0,STFT,full_trajectory_rmse_hours,False,53,53,0.36186742833457675,0.3542068307617465,0.3701342494047755,2000
5,transient_lengthening_24h,causal_transient_pulse,lengthening,24.0,STFT,primary_bias_hours,False,53,53,-0.006944007445261643,-0.03632385436896841,-0.0046602798482509354,2000
5,transient_lengthening_24h,causal_transient_pulse,lengthening,24.0,STFT,primary_pearson,False,53,53,0.7705695832128615,0.7705695832128614,0.7713535317083892,2000
5,transient_lengthening_24h,causal_transient_pulse,lengthening,24.0,STFT,dynamic_range_ratio,False,53,53,0.44889773710895137,0.4454839740526648,0.4488992816031998,2000
5,transient_lengthening_24h,causal_transient_pulse,lengthening,24.0,STFT,timing_error_hours,False,53,53,-2.4999599999998736,-2.4999599999998736,-0.8332799999999736,2000
5,transient_lengthening_24h,causal_transient_pulse,lengthening,24.0,STFT,absolute_timing_error_hours,False,53,53,2.4999599999998736,2.166599999999903,2.499960000000101,2000
5,transient_lengthening_24h,causal_transient_pulse,lengthening,24.0,STFT,within_1h_fraction,False,53,53,0.9285714285714286,0.9285714285714286,0.9285714285714286,2000
6,sustained_shortening_24h,causal_sustained_transition,shortening,24.0,CWT_pyBOAT,primary_rmse_hours,True,53,53,0.5466926090935066,0.5463950019124227,0.5489430407506285,2000
6,sustained_shortening_24h,causal_sustained_transition,shortening,24.0,CWT_pyBOAT,full_trajectory_rmse_hours,False,53,53,0.31768830939224874,0.3159229731387816,0.33433654943677027,2000
6,sustained_shortening_24h,causal_sustained_transition,shortening,24.0,CWT_pyBOAT,primary_bias_hours,False,53,53,-0.06310138090043058,-0.07300577854352015,-0.06011233763000539,2000
6,sustained_shortening_24h,causal_sustained_transition,shortening,24.0,CWT_pyBOAT,primary_pearson,False,53,53,0.9580128750421587,0.9565595186201472,0.9584349617373784,2000
6,sustained_shortening_24h,causal_sustained_transition,shortening,24.0,CWT_pyBOAT,dynamic_range_ratio,False,53,53,0.8968619320378094,0.8907942978294715,0.9007976947675415,2000
6,sustained_shortening_24h,causal_sustained_transition,shortening,24.0,CWT_pyBOAT,timing_error_hours,False,53,53,-1.6382854089435739,-1.6385254089435364,-1.6150090730656643,2000
