scenario_number,scenario_id,profile_type,direction,duration_hours,metric,method_a,method_b,difference_definition,lower_is_better,n_anchor_pairs,median_difference_hours,ci95_low,ci95_high,bootstrap_repeats
5,transient_lengthening_24h,causal_transient_pulse,lengthening,24.0,full_trajectory_rmse_hours,STFT,Hilbert,method_b_minus_method_a,True,53,0.1340343941722929,0.12094868627870381,0.14733664431217208,2000
5,transient_lengthening_24h,causal_transient_pulse,lengthening,24.0,full_trajectory_rmse_hours,CWT_pyBOAT,Hilbert,method_b_minus_method_a,True,53,0.020396179999395636,0.00840280181847336,0.03191387181475247,2000
9,transient_lengthening_48h,causal_transient_pulse,lengthening,48.0,primary_rmse_hours,STFT,CWT_pyBOAT,method_b_minus_method_a,True,53,0.4603436296176179,0.44778958986031014,0.4742391891596349,2000
9,transient_lengthening_48h,causal_transient_pulse,lengthening,48.0,primary_rmse_hours,STFT,Hilbert,method_b_minus_method_a,True,53,0.2812898718257269,0.27373285854229745,0.2998289007075365,2000
9,transient_lengthening_48h,causal_transient_pulse,lengthening,48.0,primary_rmse_hours,CWT_pyBOAT,Hilbert,method_b_minus_method_a,True,53,-0.19446698555853892,-0.1962451967187946,-0.17871205185985628,2000
9,transient_lengthening_48h,causal_transient_pulse,lengthening,48.0,full_trajectory_rmse_hours,STFT,CWT_pyBOAT,method_b_minus_method_a,True,53,0.27842820565002396,0.2700409241734122,0.2846264427911751,2000
9,transient_lengthening_48h,causal_transient_pulse,lengthening,48.0,full_trajectory_rmse_hours,STFT,Hilbert,method_b_minus_method_a,True,53,0.21040353546816415,0.19966405119926606,0.22083378012177157,2000
9,transient_lengthening_48h,causal_transient_pulse,lengthening,48.0,full_trajectory_rmse_hours,CWT_pyBOAT,Hilbert,method_b_minus_method_a,True,53,-0.07172063560476855,-0.07954503062193796,-0.06020060282249845,2000
13,transient_lengthening_72h,causal_transient_pulse,lengthening,72.0,primary_rmse_hours,STFT,CWT_pyBOAT,method_b_minus_method_a,True,53,0.5070378799825427,0.4892292489216782,0.5092075847596578,2000
13,transient_lengthening_72h,causal_transient_pulse,lengthening,72.0,primary_rmse_hours,STFT,Hilbert,method_b_minus_method_a,True,53,0.2928397345218311,0.27351197017218476,0.30254968861337406,2000
13,transient_lengthening_72h,causal_transient_pulse,lengthening,72.0,primary_rmse_hours,CWT_pyBOAT,Hilbert,method_b_minus_method_a,True,53,-0.19758966576408887,-0.20520142834432076,-0.19433882858296891,2000
13,transient_lengthening_72h,causal_transient_pulse,lengthening,72.0,full_trajectory_rmse_hours,STFT,CWT_pyBOAT,method_b_minus_method_a,True,53,0.32850616052780945,0.3224212787829349,0.33893527035615356,2000
13,transient_lengthening_72h,causal_transient_pulse,lengthening,72.0,full_trajectory_rmse_hours,STFT,Hilbert,method_b_minus_method_a,True,53,0.22578714710895195,0.20817630142954321,0.2330605977088078,2000
13,transient_lengthening_72h,causal_transient_pulse,lengthening,72.0,full_trajectory_rmse_hours,CWT_pyBOAT,Hilbert,method_b_minus_method_a,True,53,-0.10173241299393587,-0.11299643912952378,-0.09119600467971528,2000
7,transient_shortening_24h,causal_transient_pulse,shortening,24.0,primary_rmse_hours,STFT,CWT_pyBOAT,method_b_minus_method_a,True,53,0.1880785493934488,0.18780358415361664,0.18921053804100563,2000
7,transient_shortening_24h,causal_transient_pulse,shortening,24.0,primary_rmse_hours,STFT,Hilbert,method_b_minus_method_a,True,53,0.13371527100398972,0.10077479030116387,0.13972227448171481,2000
7,transient_shortening_24h,causal_transient_pulse,shortening,24.0,primary_rmse_hours,CWT_pyBOAT,Hilbert,method_b_minus_method_a,True,53,-0.05408831314962692,-0.08763019665702654,-0.04972838895580556,2000
7,transient_shortening_24h,causal_transient_pulse,shortening,24.0,full_trajectory_rmse_hours,STFT,CWT_pyBOAT,method_b_minus_method_a,True,53,0.09369200908543807,0.09267876357312183,0.0989840280914111,2000
7,transient_shortening_24h,causal_transient_pulse,shortening,24.0,full_trajectory_rmse_hours,STFT,Hilbert,method_b_minus_method_a,True,53,0.12352722477398653,0.10996839572739375,0.14196667081350933,2000
7,transient_shortening_24h,causal_transient_pulse,shortening,24.0,full_trajectory_rmse_hours,CWT_pyBOAT,Hilbert,method_b_minus_method_a,True,53,0.021661595782661858,0.014373709776920651,0.04619388936576668,2000
11,transient_shortening_48h,causal_transient_pulse,shortening,48.0,primary_rmse_hours,STFT,CWT_pyBOAT,method_b_minus_method_a,True,53,0.38730084788105407,0.3847466956900848,0.3877944743122965,2000
11,transient_shortening_48h,causal_transient_pulse,shortening,48.0,primary_rmse_hours,STFT,Hilbert,method_b_minus_method_a,True,53,0.21506137198242226,0.18331935445943515,0.23748098218859837,2000
11,transient_shortening_48h,causal_transient_pulse,shortening,48.0,primary_rmse_hours,CWT_pyBOAT,Hilbert,method_b_minus_method_a,True,53,-0.14962146914489072,-0.20285012819303905,-0.14834712700769037,2000
11,transient_shortening_48h,causal_transient_pulse,shortening,48.0,full_trajectory_rmse_hours,STFT,CWT_pyBOAT,method_b_minus_method_a,True,53,0.2237013411548388,0.22123179237825324,0.22971703135783822,2000
11,transient_shortening_48h,causal_transient_pulse,shortening,48.0,full_trajectory_rmse_hours,STFT,Hilbert,method_b_minus_method_a,True,53,0.1894397211174032,0.1618166646408291,0.19419167978984336,2000
11,transient_shortening_48h,causal_transient_pulse,shortening,48.0,full_trajectory_rmse_hours,CWT_pyBOAT,Hilbert,method_b_minus_method_a,True,53,-0.04345439313817662,-0.0571939375605654,-0.031692478939405244,2000
15,transient_shortening_72h,causal_transient_pulse,shortening,72.0,primary_rmse_hours,STFT,CWT_pyBOAT,method_b_minus_method_a,True,53,0.3332104191003834,0.32003627755768066,0.33924346778878056,2000
15,transient_shortening_72h,causal_transient_pulse,shortening,72.0,primary_rmse_hours,STFT,Hilbert,method_b_minus_method_a,True,53,0.09637919605693585,0.08532771358844277,0.10695142781997663,2000
15,transient_shortening_72h,causal_transient_pulse,shortening,72.0,primary_rmse_hours,CWT_pyBOAT,Hilbert,method_b_minus_method_a,True,53,-0.23510925694590956,-0.24201507919106013,-0.23081798153781952,2000
15,transient_shortening_72h,causal_transient_pulse,shortening,72.0,full_trajectory_rmse_hours,STFT,CWT_pyBOAT,method_b_minus_method_a,True,53,0.21591188571408448,0.20999182920522452,0.22031529708657438,2000
15,transient_shortening_72h,causal_transient_pulse,shortening,72.0,full_trajectory_rmse_hours,STFT,Hilbert,method_b_minus_method_a,True,53,0.09706834345027371,0.08742111322777493,0.10749265744624692,2000
15,transient_shortening_72h,causal_transient_pulse,shortening,72.0,full_trajectory_rmse_hours,CWT_pyBOAT,Hilbert,method_b_minus_method_a,True,53,-0.11282263964032746,-0.12106326473860202,-0.11009409402181203,2000
